Code,Title_today,Size_today,Price_today,Link_today,CleanPrice_today,Title_yesterday,Size_yesterday,Price_yesterday,Link_yesterday,CleanPrice_yesterday
Cód. 34518,Apartamento Centro,"2 dormitórios 49m²
1 vaga",,https://www.bassanesi.com.br/imovel/34518/apartamento-para-alugar-com-49m-2-dormitorios-centro-em-caxias-do-sul/,,Apartamento Centro,"2 dormitórios 49m²
1 vaga",,https://www.bassanesi.com.br/imovel/34518/apartamento-para-alugar-com-49m-2-dormitorios-centro-em-caxias-do-sul/,
Cód. 34517,Loja Cristo Redentor,55m²,,https://www.bassanesi.com.br/imovel/34517/loja-para-alugar-com-55m-cristo-redentor-em-caxias-do-sul/,,Loja Cristo Redentor,55m²,,https://www.bassanesi.com.br/imovel/34517/loja-para-alugar-com-55m-cristo-redentor-em-caxias-do-sul/,
Cód. 34516,Pavilhão Desvio Rizzo,1347m²,,https://www.bassanesi.com.br/imovel/34516/pavilhao-para-alugar-com-1347m-desvio-rizzo-em-caxias-do-sul/,,Pavilhão Desvio Rizzo,1347m²,,https://www.bassanesi.com.br/imovel/34516/pavilhao-para-alugar-com-1347m-desvio-rizzo-em-caxias-do-sul/,
Cód. 34515,Apartamento Exposição,"3 dormitórios 136m²
1 vaga",,https://www.bassanesi.com.br/imovel/34515/apartamento-para-alugar-com-136m-3-dormitorios-exposicao-em-caxias-do-sul/,,Apartamento Exposição,"3 dormitórios 136m²
1 vaga",,https://www.bassanesi.com.br/imovel/34515/apartamento-para-alugar-com-136m-3-dormitorios-exposicao-em-caxias-do-sul/,
Cód. 34512,Apartamento Vila Verde,"2 dormitórios 53m²
1 vaga",,https://www.bassanesi.com.br/imovel/34512/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/,,Apartamento Vila Verde,"2 dormitórios 53m²
1 vaga",,https://www.bassanesi.com.br/imovel/34512/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/,
Cód. 34511,Apartamento Vila Verde,"2 dormitórios 53m²
1 vaga",,https://www.bassanesi.com.br/imovel/34511/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/,,Apartamento Vila Verde,"2 dormitórios 53m²
1 vaga",,https://www.bassanesi.com.br/imovel/34511/apartamento-para-alugar-ou-comprar-com-53m-2-dormitorios-vila-verde-em-caxias-do-sul/,
Cód. 34510,Apto Mobiliado Colina do Sol,2 dormitórios 47m²,,https://www.bassanesi.com.br/imovel/34510/apto-mobiliado-para-alugar-com-47m-2-dormitorios-colina-do-sol-em-caxias-do-sul/,,Apto Mobiliado Colina do Sol,2 dormitórios 47m²,,https://www.bassanesi.com.br/imovel/34510/apto-mobiliado-para-alugar-com-47m-2-dormitorios-colina-do-sol-em-caxias-do-sul/,
Cód. 34509,Apto Mobiliado Cristo Redentor,"4 dormitórios 270m²
3 vagas",,https://www.bassanesi.com.br/imovel/34509/apto-mobiliado-para-alugar-com-270m-4-dormitorios-cristo-redentor-em-caxias-do-sul/,,Apto Mobiliado Cristo Redentor,"4 dormitórios 270m²
3 vagas",,https://www.bassanesi.com.br/imovel/34509/apto-mobiliado-para-alugar-com-270m-4-dormitorios-cristo-redentor-em-caxias-do-sul/,
Cód. 34508,Loja Pio X,157m²,,https://www.bassanesi.com.br/imovel/34508/loja-para-alugar-com-157m-pio-x-em-caxias-do-sul/,,Loja Pio X,157m²,,https://www.bassanesi.com.br/imovel/34508/loja-para-alugar-com-157m-pio-x-em-caxias-do-sul/,
Cód. 34504,Apartamento Jardim América,"2 dormitórios 95m²
1 vaga",,https://www.bassanesi.com.br/imovel/34504/apartamento-para-alugar-ou-comprar-com-95m-2-dormitorios-jardim-america-em-caxias-do-sul/,,Apartamento Jardim América,"2 dormitórios 95m²
1 vaga",,https://www.bassanesi.com.br/imovel/34504/apartamento-para-alugar-ou-comprar-com-95m-2-dormitorios-jardim-america-em-caxias-do-sul/,
